# Each line has the following format:
#    unitybonename,modelbonename
# For those whose unitybonename is "none", these are not
# mapped to a standard bone but you wanted to keep them around
none,Brian(Clone)
Hips,mixamorig12:Hips
LeftUpperLeg,mixamorig12:LeftUpLeg
RightUpperLeg,mixamorig12:RightUpLeg
LeftLowerLeg,mixamorig12:LeftLeg
RightLowerLeg,mixamorig12:RightLeg    
LeftFoot,mixamorig12:LeftFoot
RightFoot,mixamorig12:RightFoot    
Spine,mixamorig12:Spine
Chest,mixamorig12:Spine1
UpperChest,mixamorig12:Spine2
Neck,mixamorig12:Neck
Head,mixamorig12:Head      
LeftShoulder,mixamorig12:LeftShoulder
RightShoulder,mixamorig12:RightShoulder
LeftUpperArm,mixamorig12:LeftArm
RightUpperArm,mixamorig12:RightArm
LeftLowerArm,mixamorig12:LeftForeArm
RightLowerArm,mixamorig12:RightForeArm
LeftHand,mixamorig12:LeftHand
RightHand,mixamorig12:RightHand
LeftToes,mixamorig12:LeftToeBase
RightToes,mixamorig12:RightToeBase
LeftEye,mixamorig12:HeadTop_End
LeftThumbProximal,mixamorig12:LeftHandThumb1
LeftThumbIntermediate,mixamorig12:LeftHandThumb2
LeftThumbDistal,mixamorig12:LeftHandThumb3
LeftIndexProximal,mixamorig12:LeftHandIndex1
LeftIndexIntermediate,mixamorig12:LeftHandIndex2
LeftIndexDistal,mixamorig12:LeftHandIndex3
LeftMiddleProximal,mixamorig12:LeftHandMiddle1
LeftMiddleIntermediate,mixamorig12:LeftHandMiddle2
LeftMiddleDistal,mixamorig12:LeftHandMiddle3
LeftRingProximal,mixamorig12:LeftHandRing1
LeftRingIntermediate,mixamorig12:LeftHandRing2
LeftRingDistal,mixamorig12:LeftHandRing3
LeftLittleProximal,mixamorig12:LeftHandPinky1
LeftLittleIntermediate,mixamorig12:LeftHandPinky2
LeftLittleDistal,mixamorig12:LeftHandPinky3
RightThumbProximal,mixamorig12:RightHandThumb1
RightThumbIntermediate,mixamorig12:RightHandThumb2
RightThumbDistal,mixamorig12:RightHandThumb3
RightIndexProximal,mixamorig12:RightHandIndex1
RightIndexIntermediate,mixamorig12:RightHandIndex2
RightIndexDistal,mixamorig12:RightHandIndex3
RightMiddleProximal,mixamorig12:RightHandMiddle1
RightMiddleIntermediate,mixamorig12:RightHandMiddle2
RightMiddleDistal,mixamorig12:RightHandMiddle3
RightRingProximal,mixamorig12:RightHandRing1      
RightRingIntermediate,mixamorig12:RightHandRing2
RightRingDistal,mixamorig12:RightHandRing3
RightLittleProximal,mixamorig12:RightHandPinky1
RightLittleIntermediate,mixamorig12:RightHandPinky2
RightLittleDistal,mixamorig12:RightHandPinky3
