# Each line has the following format:
#    unitybonename,modelbonename
# For those whose unitybonename is "none", these are not
# mapped to a standard bone but you wanted to keep them around
none,Male_Default(Clone)
Hips,mixamorig:Hips
LeftUpperLeg,mixamorig:LeftUpLeg
RightUpperLeg,mixamorig:RightUpLeg
LeftLowerLeg,mixamorig:LeftLeg
RightLowerLeg,mixamorig:RightLeg    
LeftFoot,mixamorig:LeftFoot
RightFoot,mixamorig:RightFoot    
Spine,mixamorig:Spine
Chest,mixamorig:Spine1
UpperChest,mixamorig:Spine2
Neck,mixamorig:Neck
Head,mixamorig:Head      
LeftShoulder,mixamorig:LeftShoulder
RightShoulder,mixamorig:RightShoulder
LeftUpperArm,mixamorig:LeftArm
RightUpperArm,mixamorig:RightArm
LeftLowerArm,mixamorig:LeftForeArm
RightLowerArm,mixamorig:RightForeArm
LeftHand,mixamorig:LeftHand
RightHand,mixamorig:RightHand
LeftToes,mixamorig:LeftToeBase
RightToes,mixamorig:RightToeBase
LeftEye,mixamorig:HeadTop_End
LeftThumbProximal,mixamorig:LeftHandThumb1
LeftThumbIntermediate,mixamorig:LeftHandThumb2
LeftThumbDistal,mixamorig:LeftHandThumb3
LeftIndexProximal,mixamorig:LeftHandIndex1
LeftIndexIntermediate,mixamorig:LeftHandIndex2
LeftIndexDistal,mixamorig:LeftHandIndex3
LeftMiddleProximal,mixamorig:LeftHandMiddle1
LeftMiddleIntermediate,mixamorig:LeftHandMiddle2
LeftMiddleDistal,mixamorig:LeftHandMiddle3
LeftRingProximal,mixamorig:LeftHandRing1
LeftRingIntermediate,mixamorig:LeftHandRing2
LeftRingDistal,mixamorig:LeftHandRing3
LeftLittleProximal,mixamorig:LeftHandPinky1
LeftLittleIntermediate,mixamorig:LeftHandPinky2
LeftLittleDistal,mixamorig:LeftHandPinky3
RightThumbProximal,mixamorig:RightHandThumb1
RightThumbIntermediate,mixamorig:RightHandThumb2
RightThumbDistal,mixamorig:RightHandThumb3
RightIndexProximal,mixamorig:RightHandIndex1
RightIndexIntermediate,mixamorig:RightHandIndex2
RightIndexDistal,mixamorig:RightHandIndex3
RightMiddleProximal,mixamorig:RightHandMiddle1
RightMiddleIntermediate,mixamorig:RightHandMiddle2
RightMiddleDistal,mixamorig:RightHandMiddle3
RightRingProximal,mixamorig:RightHandRing1      
RightRingIntermediate,mixamorig:RightHandRing2
RightRingDistal,mixamorig:RightHandRing3
RightLittleProximal,mixamorig:RightHandPinky1
RightLittleIntermediate,mixamorig:RightHandPinky2
RightLittleDistal,mixamorig:RightHandPinky3
