# Each line has the following format:
#    unitybonename,modelbonename
# For those whose unitybonename is "none", these are not
# mapped to a standard bone but you wanted to keep them around
none,Megan(Clone)
Hips,mixamorig2:Hips
LeftUpperLeg,mixamorig2:LeftUpLeg
RightUpperLeg,mixamorig2:RightUpLeg
LeftLowerLeg,mixamorig2:LeftLeg
RightLowerLeg,mixamorig2:RightLeg    
LeftFoot,mixamorig2:LeftFoot
RightFoot,mixamorig2:RightFoot    
Spine,mixamorig2:Spine
Chest,mixamorig2:Spine1
UpperChest,mixamorig2:Spine2
Neck,mixamorig2:Neck
Head,mixamorig2:Head      
LeftShoulder,mixamorig2:LeftShoulder
RightShoulder,mixamorig2:RightShoulder
LeftUpperArm,mixamorig2:LeftArm
RightUpperArm,mixamorig2:RightArm
LeftLowerArm,mixamorig2:LeftForeArm
RightLowerArm,mixamorig2:RightForeArm
LeftHand,mixamorig2:LeftHand
RightHand,mixamorig2:RightHand
LeftToes,mixamorig2:LeftToeBase
RightToes,mixamorig2:RightToeBase
LeftEye,mixamorig2:HeadTop_End
LeftThumbProximal,mixamorig2:LeftHandThumb1
LeftThumbIntermediate,mixamorig2:LeftHandThumb2
LeftThumbDistal,mixamorig2:LeftHandThumb3
LeftIndexProximal,mixamorig2:LeftHandIndex1
LeftIndexIntermediate,mixamorig2:LeftHandIndex2
LeftIndexDistal,mixamorig2:LeftHandIndex3
LeftMiddleProximal,mixamorig2:LeftHandMiddle1
LeftMiddleIntermediate,mixamorig2:LeftHandMiddle2
LeftMiddleDistal,mixamorig2:LeftHandMiddle3
LeftRingProximal,mixamorig2:LeftHandRing1
LeftRingIntermediate,mixamorig2:LeftHandRing2
LeftRingDistal,mixamorig2:LeftHandRing3
LeftLittleProximal,mixamorig2:LeftHandPinky1
LeftLittleIntermediate,mixamorig2:LeftHandPinky2
LeftLittleDistal,mixamorig2:LeftHandPinky3
RightThumbProximal,mixamorig2:RightHandThumb1
RightThumbIntermediate,mixamorig2:RightHandThumb2
RightThumbDistal,mixamorig2:RightHandThumb3
RightIndexProximal,mixamorig2:RightHandIndex1
RightIndexIntermediate,mixamorig2:RightHandIndex2
RightIndexDistal,mixamorig2:RightHandIndex3
RightMiddleProximal,mixamorig2:RightHandMiddle1
RightMiddleIntermediate,mixamorig2:RightHandMiddle2
RightMiddleDistal,mixamorig2:RightHandMiddle3
RightRingProximal,mixamorig2:RightHandRing1      
RightRingIntermediate,mixamorig2:RightHandRing2
RightRingDistal,mixamorig2:RightHandRing3
RightLittleProximal,mixamorig2:RightHandPinky1
RightLittleIntermediate,mixamorig2:RightHandPinky2
RightLittleDistal,mixamorig2:RightHandPinky3
